domain	phylum	class	order	family	genus	species
Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured	
Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured	
Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured	
Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	
Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula	
Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4		NA
Bacteria	Planctomycetes	Brocadiae	Brocadiales	Scalinduaceae	Candidatus Scalindua	
Bacteria	Planctomycetes	BD7-11		NA	NA	NA
Bacteria	Planctomycetes	Brocadiae	Brocadiales	Brocadiaceae	Candidatus Brocadia	
Bacteria	Planctomycetes	Brocadiae	Brocadiales	Brocadiaceae	Candidatus Kuenenia	
Bacteria	Planctomycetes	Brocadiae	Brocadiales	Brocadiaceae	Candidatus Jettenia	
Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Termite planctomycete cluster	
Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Termite planctomycete cluster	
Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Termite planctomycete cluster	
Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Termite planctomycete cluster	
Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Termite planctomycete cluster	
Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured	
Bacteria	Planctomycetes	Pla4 lineage		NA	NA	NA
Bacteria	Planctomycetes	BD7-11		NA	NA	NA
Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	
Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula	
Bacteria	Planctomycetes	OM190		NA	NA	NA
